1, Affenpinschers , 7.0 , 10.0
2, Afghan Hounds , 50.0 , 60.0
3, Airedale Terriers , 50.0 , 70.0
4, Akitas , 70.0 , 130.0
5, Alaskan Malamutes , 75.0 , 85.0
6, American English Coonhounds , 45.0 , 65.0
7, Toy American Eskimo Dog , 6.0 , 10.0
8, Miniature American Eskimo Dog , 10.0 , 20.0
9, Standard American Eskimo Dog 25 , 35.0 , 35.0
10, American Foxhounds , 60.0 , 70.0
11, American Hairless Terriers , 12.0 , 16.0
12, American Staffordshire Terriers , 40.0 , 70.0
13, Anatolian Shepherd Dogs , 80.0 , 150.0
14, Australian Cattle Dogs , 35.0 , 50.0
15, Australian Shepherds , 40.0 , 65.0
16, Australian Terriers , 12.0 , 18.0
17, Basenjis , 22.0 , 24.0
18, Basset Hounds , 40.0 , 65.0
19, Beagles , 18.0 , 35.0
20, Bearded Collies , 45.0 , 55.0
21, Beaucerons , 70.0 , 110.0
22, Bedlington Terriers , 17.0 , 23.0
23, Belgian Malinois , 40.0 , 80.0
24, Belgian Sheepdogs , 45.0 , 75.0
25, Belgian Tervuren , 45.0 , 75.0
26, Bergamasco , 57.0 , 84.0
27, Berger Picards , 50.0 , 70.0
28, Bernese Mountain Dogs , 70.0 , 115.0
29, Bichons Frises , 12.0 , 18.0
30, Black and Tan Coonhounds , 65.0 , 110.0
31, Black RussianTerriers , 80.0 , 130.0
32, Bloodhounds , 80.0 , 110.0
33, Bluetick Coonhounds , 45.0 , 80.0
34, Boerboels , 150.0 , 200.0
35, Border Collies , 30.0 , 55.0
36, Border Terriers , 11.5 , 15.5
37, Borzois , 60.0 , 105.0
38, Boston Terriers , 12.0 , 25.0
39, Bouviers des Flandres , 70.0 , 110.0
40, Boxers , 40.0 , 80.0
41, Briards , 55.0 , 100.0
42, Brittanys , 30.0 , 40.0
43, Brussels Griffons , 8.0 , 10.0
44, Bull Terriers , 50.0 , 70.0
45, Bulldogs , 40.0 , 50.0
46, Bullmastiffs , 100.0 , 130.0
47, Cairn Terriers , 13.0 , 14.0
48, Canaan Dogs , 35.0 , 55.0
49, Cardigan Welsh Corgis , 25.0 , 38.0
50, Cavalier King Charles Spaniels , 13.0 , 18.0
51, Cesky Terriers , 14.0 , 24.0
52, Chihuahuas , 4.0 , 6.0
53, Chinese Crested , 8.0 , 12.0
54, Chinese Shar Pei , 45.0 , 60.0
55, Chinooks , 50.0 , 90.0
56, Chow Chows , 45.0 , 70.0
57, Cirnechi dell Etna , 17.0 , 26.0
58, Collies , 50.0 , 75.0
59, Coton de Tulear , 8.0 , 15.0
60, Standard Dachshunds , 16.0 , 32.0
61, Miniature Dachunds , 11.0 , 11.0
62, Dalmatians , 45.0 , 70.0
63, Dandie Dinmont Terriers , 18.0 , 24.0
64, Doberman Pinschers , 60.0 , 100.0
65, Dogues de Bordeaux , 99.0 , 140.0
66, English Foxhounds , 60.0 , 75.0
67, English Toy Spaniels , 8.0 , 14.0
68, Entlebucher Mountain Dogs , 55.0 , 65.0
69, Finnish Lapphunds , 33.0 , 53.0
70, Finnish Spitz , 20.0 , 33.0
71, Fox Terriers , 16.0 , 18.0
72, French Bulldogs , 16.0 , 28.0
73, German Pinschers , 25.0 , 45.0
74, German Shepherd Dogs , 50.0 , 90.0
75, Giant Schnauzers , 55.0 , 85.0
76, Glen of Imaal Terriers , 32.0 , 40.0
77, Great Danes , 110.0 , 175.0
78, Great Pyrenees , 80.0 , 120.0
79, Greater Swiss Mountain Dogs , 85.0 , 140.0
80, Greyhounds , 60.0 , 70.0
81, Harriers , 45.0 , 60.0
82, Havanese , 7.0 , 13.0
83, Ibizan Hounds , 45.0 , 50.0
84, Icelandic Sheepdogs , 25.0 , 30.0
85, Irish Terriers , 25.0 , 27.0
86, Irish Wolfhounds , 105.0 , 120.0
87, Italian Greyhounds , 7.0 , 14.0
88, Japanese Chin , 7.0 , 11.0
89, Keeshonden , 35.0 , 45.0
90, Kerry Blue Terriers , 33.0 , 40.0
91, Komondor , 80.0 , 130.0
92, Kuvaszok , 70.0 , 115.0
93, Lagotti Romagnoli , 24.0 , 35.0
94, Lakeland Terriers , 17.0 , 17.0
95, Leonbergers , 90.0 , 170.0
96, Lhasa Apsos , 12.0 , 18.0
97, Lowchen , 15.0 , 15.0
98, Maltese , 7.0 , 7.0
99, Toy Manchester Terriers , 7.0 , 12.0
100, Standard Manchester Terriers , 12.0 , 22.0
101, Mastiffs , 120.0 , 230.0
102, Miniature American Shepherds , 20.0 , 40.0
103, Miniature Bull Terriers , 18.0 , 28.0
